"","SITE","YEAR","SEASON","sd_TEMP","TEMP_C"
"1","ABUR","2002","COLD",0.808611137908769,14.9596191756272
"2","ABUR","2002","WARM",0.867063458365628,15.0540311986864
"3","ABUR","2003","COLD",1.54901106381433,13.1638935017559
"4","ABUR","2003","WARM",1.35308665825695,15.229011475651
"5","ABUR","2004","COLD",1.03776728133033,13.8169249601458
"6","ABUR","2004","WARM",1.77351770071031,16.2289123554123
"7","ABUR","2005","COLD",1.38995053069285,13.8621803553858
"8","ABUR","2005","WARM",1.44401551020888,15.0589983310313
"9","ABUR","2006","COLD",1.29739095852778,13.2653869323448
"10","ABUR","2006","WARM",1.43927228837248,15.8142113138056
"11","ABUR","2007","COLD",0.984667377826134,12.931209121954
"12","ABUR","2007","WARM",1.47499211829386,15.0021594636589
"13","ABUR","2008","COLD",1.1124781356058,12.624067628914
"14","ABUR","2008","WARM",1.42620678586117,15.760309910221
"15","ABUR","2009","COLD",0.912361579542415,12.9601074468085
"16","ABUR","2009","WARM",1.49141446949859,15.4956390895596
"17","ABUR","2010","COLD",1.28949695088404,13.0577996457266
"18","ABUR","2010","WARM",1.50773508341931,14.3989463915746
"19","ABUR","2011","COLD",1.16787044192377,12.8295682962246
"20","ABUR","2011","WARM",1.39748015455653,14.9887598142273
"21","ABUR","2012","COLD",1.23118681291172,13.2242019702436
"22","ABUR","2012","WARM",1.37076511941898,15.8286812266189
"23","ABUR","2013","COLD",1.22004816482206,13.4112988179996
"24","ABUR","2013","WARM",1.28329090658657,15.8250663431396
"25","ABUR","2014","COLD",1.83446410576802,14.7821447010476
"26","ABUR","2014","WARM",1.70912078333629,17.8888169968124
"27","ABUR","2015","COLD",1.46450169537152,15.2720783309793
"28","ABUR","2015","WARM",2.3995103210656,18.1887079162085
"29","ABUR","2016","COLD",1.07790681574038,14.5237569669072
"30","ABUR","2016","WARM",1.565342028267,16.0816540784051
"31","ABUR","2017","COLD",0.990267599022012,13.877971112181
