"SITE_TRANS","YEAR","siteID","yrID"
"ABUR_1",2002,1,3
"ABUR_1",2003,1,4
"ABUR_1",2004,1,5
"ABUR_1",2005,1,6
"ABUR_1",2006,1,7
"ABUR_1",2007,1,8
"ABUR_1",2008,1,9
"ABUR_1",2009,1,10
"ABUR_1",2010,1,11
"ABUR_1",2011,1,12
"ABUR_1",2012,1,13
"ABUR_1",2013,1,14
"ABUR_1",2014,1,15
"ABUR_1",2015,1,16
"ABUR_1",2016,1,17
"ABUR_1",2017,1,18
"ABUR_1",2018,1,19
"ABUR_1",2019,1,20
"ABUR_1",2020,1,21
"ABUR_1",2021,1,22
"ABUR_1",2022,1,23
"AHND_1",2001,2,2
"AHND_1",2002,2,3
"AHND_1",2003,2,4
"AHND_1",2004,2,5
"AHND_1",2005,2,6
"AHND_1",2006,2,7
"AHND_1",2007,2,8
"AHND_1",2008,2,9
"AHND_1",2009,2,10
"AHND_1",2010,2,11
"AHND_1",2011,2,12
"AHND_1",2012,2,13
"AHND_1",2013,2,14
"AHND_1",2014,2,15
"AHND_1",2015,2,16
"AHND_1",2016,2,17
"AHND_1",2017,2,18
"AHND_1",2018,2,19
"AHND_1",2019,2,20
"AHND_1",2020,2,21
"AHND_1",2021,2,22
"AHND_1",2022,2,23
"AHND_2",2001,3,2
"AHND_2",2002,3,3
"AHND_2",2003,3,4
"AHND_2",2004,3,5
"AHND_2",2005,3,6
"AHND_2",2006,3,7
"AHND_2",2007,3,8
"AHND_2",2008,3,9
"AHND_2",2009,3,10
"AHND_2",2010,3,11
"AHND_2",2011,3,12
"AHND_2",2012,3,13
"AHND_2",2013,3,14
"AHND_2",2014,3,15
"AHND_2",2015,3,16
"AHND_2",2016,3,17
"AHND_2",2017,3,18
"AHND_2",2018,3,19
"AHND_2",2019,3,20
"AHND_2",2020,3,21
"AHND_2",2021,3,22
"AHND_2",2022,3,23
"AQUE_1",2002,4,3
"AQUE_1",2003,4,4
"AQUE_1",2004,4,5
"AQUE_1",2005,4,6
"AQUE_1",2006,4,7
"AQUE_1",2007,4,8
"AQUE_1",2008,4,9
"AQUE_1",2009,4,10
"AQUE_1",2010,4,11
"AQUE_1",2011,4,12
"AQUE_1",2012,4,13
"AQUE_1",2013,4,14
"AQUE_1",2014,4,15
"AQUE_1",2015,4,16
"AQUE_1",2016,4,17
"AQUE_1",2017,4,18
"AQUE_1",2018,4,19
"AQUE_1",2019,4,20
"AQUE_1",2020,4,21
"AQUE_1",2021,4,22
"AQUE_1",2022,4,23
"AQUE_2",2001,5,2
"AQUE_2",2002,5,3
"AQUE_2",2003,5,4
"AQUE_2",2004,5,5
"AQUE_2",2005,5,6
"AQUE_2",2006,5,7
"AQUE_2",2007,5,8
"AQUE_2",2008,5,9
"AQUE_2",2009,5,10
"AQUE_2",2010,5,11
"AQUE_2",2011,5,12
"AQUE_2",2012,5,13
"AQUE_2",2013,5,14
"AQUE_2",2014,5,15
"AQUE_2",2015,5,16
